Struttura trapianto,Intestino,Fegato - pancreas - intestino,Totale Trapianti
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,1,0,1
BO - S.ORSOLA-MALPIGHI - BO,0,1,1
Totale,1,1,2
